Δήμος,Καθαρισμένο_Όνομα,Δήμος_Κλεισθένη
ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ
ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ
ΗΛΙΔΑΣ,ΗΛΙΔΑΣ,ΗΛΙΔΑΣ
ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ
ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ
ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ
ΣΙΝΤΙΚΗΣ,ΣΙΝΤΙΚΗΣ,ΣΙΝΤΙΚΗΣ
ΒΕΛΟΥ - ΒΟΧΑΣ,ΒΕΛΟΥ - ΒΟΧΑΣ,ΒΕΛΟΥ - ΒΟΧΑΣ
ΧΙΟΥ,ΧΙΟΥ,ΧΙΟΥ
ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ
ΛΑΜΙΕΩΝ,ΛΑΜΙΕΩΝ,ΛΑΜΙΕΩΝ
ΠΛΑΤΑΝΙΑ,ΠΛΑΤΑΝΙΑ,ΠΛΑΤΑΝΙΑ
ΛΗΜΝΟΥ,ΛΗΜΝΟΥ,ΛΗΜΝΟΥ
ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
ΚΙΣΣΑΜΟΥ,ΚΙΣΣΑΜΟΥ,ΚΙΣΣΑΜΟΥ
ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ
ΑΜΑΡΙΟΥ,ΑΜΑΡΙΟΥ,ΑΜΑΡΙΟΥ
ΦΙΛΙΑΤΩΝ,ΦΙΛΙΑΤΩΝ,ΦΙΛΙΑΤΩΝ
ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ
ΒΙΑΝΝΟΥ,ΒΙΑΝΝΟΥ,ΒΙΑΝΝΟΥ
ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΩΝ
ΤΕΜΠΩΝ,ΤΕΜΠΩΝ,ΤΕΜΠΩΝ
ΚΑΡΥΣΤΟΥ,ΚΑΡΥΣΤΟΥ,ΚΑΡΥΣΤΟΥ
ΕΠΙΔΑΥΡΟΥ,ΕΠΙΔΑΥΡΟΥ,ΕΠΙΔΑΥΡΟΥ
ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ,ΣΕΡΒΙΩΝ,ΣΕΡΒΙΩΝ
ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ
ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
ΤΡΙΠΟΛΗΣ,ΤΡΙΠΟΛΗΣ,ΤΡΙΠΟΛΗΣ
ΜΑΚΡΑΚΩΜΗΣ,ΜΑΚΡΑΚΩΜΗΣ,ΜΑΚΡΑΚΩΜΗΣ
ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ
ΓΟΡΤΥΝΙΑΣ,ΓΟΡΤΥΝΙΑΣ,ΓΟΡΤΥΝΙΑΣ
ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΛΟΥΤΡΑΚΙΟΥ - ΠΕΡΑΧΩΡΑΣ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ
ΤΟΠΕΙΡΟΥ,ΤΟΠΕΙΡΟΥ,ΤΟΠΕΙΡΟΥ
ΠΑΡΑΝΕΣΤΙΟΥ,ΠΑΡΑΝΕΣΤΙΟΥ,ΠΑΡΑΝΕΣΤΙΟΥ
ΜΑΛΕΒΙΖΙΟΥ,ΜΑΛΕΒΙΖΙΟΥ,ΜΑΛΕΒΙΖΙΟΥ
ΑΙΓΙΑΛΕΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ
ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ
ΠΑΡΟΥ,ΠΑΡΟΥ,ΠΑΡΟΥ
ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ
ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ
ΑΡΙΣΤΟΤΕΛΗ,ΑΡΙΣΤΟΤΕΛΗ,ΑΡΙΣΤΟΤΕΛΗ
ΡΟΔΟΥ,ΡΟΔΟΥ,ΡΟΔΟΥ
ΒΟΛΟΥ,ΒΟΛΟΥ,ΒΟΛΟΥ
ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ
ΚΑΣΣΑΝΔΡΑΣ,ΚΑΣΣΑΝΔΡΑΣ,ΚΑΣΣΑΝΔΡΑΣ
ΝΑΥΠΛΙΕΩΝ,ΝΑΥΠΛΙΕΩΝ,ΝΑΥΠΛΙΕΩΝ
ΛΕΣΒΟΥ,ΜΥΤΙΛΗΝΗΣ,ΜΥΤΙΛΗΝΗΣ
ΣΙΚΥΩΝΙΩΝ,ΣΙΚΥΩΝΙΩΝ,ΣΙΚΥΩΝΙΩΝ
ΣΦΑΚΙΩΝ,ΣΦΑΚΙΩΝ,ΣΦΑΚΙΩΝ
ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ
ΠΑΙΟΝΙΑΣ,ΠΑΙΟΝΙΑΣ,ΠΑΙΟΝΙΑΣ
ΚΕΡΚΥΡΑΣ,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ
ΤΡΙΦΥΛΙΑΣ,ΤΡΙΦΥΛΙΑΣ,ΤΡΙΦΥΛΛΙΑΣ
ΣΑΜΟΘΡΑΚΗΣ,ΣΑΜΟΘΡΑΚΗΣ,ΣΑΜΟΘΡΑΚΗΣ
ΑΡΤΑΙΩΝ,ΑΡΤΑΙΩΝ,ΑΡΤΑΙΩΝ
ΑΒΔΗΡΩΝ,ΑΒΔΗΡΩΝ,ΑΒΔΗΡΩΝ
ΟΡΕΣΤΙΑΔΑΣ,ΟΡΕΣΤΙΑΔΑΣ,ΟΡΕΣΤΙΑΔΑΣ
ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΗΣ
ΖΙΤΣΑΣ,ΖΙΤΣΑΣ,ΖΙΤΣΑΣ
ΠΟΛΥΓΥΡΟΥ,ΠΟΛΥΓΥΡΟΥ,ΠΟΛΥΓΥΡΟΥ
ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ
ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ
ΚΑΛΑΒΡΥΤΩΝ,ΚΑΛΑΒΡΥΤΩΝ,ΚΑΛΑΒΡΥΤΩΝ
ΟΙΧΑΛΙΑΣ,ΟΙΧΑΛΙΑΣ,ΟΙΧΑΛΙΑΣ
ΠΑΤΡΕΩΝ,ΠΑΤΡΕΩΝ,ΠΑΤΡΕΩΝ
ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ
ΣΥΜΗΣ,ΣΥΜΗΣ,ΣΥΜΗΣ
ΣΟΦΑΔΩΝ,ΣΟΦΑΔΩΝ,ΣΟΦΑΔΩΝ
ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ
ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ
ΑΛΜΩΠΙΑΣ,ΑΛΜΩΠΙΑΣ,ΑΛΜΩΠΙΑΣ
ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ
ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ
ΔΟΞΑΤΟΥ,ΔΟΞΑΤΟΥ,ΔΟΞΑΤΟΥ
ΤΥΡΝΑΒΟΥ,ΤΥΡΝΑΒΟΥ,ΤΥΡΝΑΒΟΥ
ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ
ΘΑΣΟΥ,ΘΑΣΟΥ,ΘΑΣΟΥ
ΦΑΡΚΑΔΟΝΑΣ,ΦΑΡΚΑΔΟΝΑΣ,ΦΑΡΚΑΔΟΝΑΣ
ΔΕΛΦΩΝ,ΔΕΛΦΩΝ,ΔΕΛΦΩΝ
ΑΛΕΞΑΝΔΡΕΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ
ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
ΞΗΡΟΜΕΡΟΥ,ΞΗΡΟΜΕΡΟΥ,ΞΗΡΟΜΕΡΟΥ
ΚΑΛΑΜΠΑΚΑΣ,ΚΑΛΑΜΠΑΚΑΣ,ΚΑΛΑΜΑΤΑΣ
ΚΩ,ΚΩ,ΚΩ
ΒΟΛΒΗΣ,ΒΟΛΒΗΣ,ΒΟΛΒΗΣ
ΠΡΕΣΠΩΝ,ΠΡΕΣΠΩΝ,ΠΡΕΣΠΩΝ
ΧΕΡΣΟΝΗΣΟΥ,ΧΕΡΣΟΝΗΣΟΥ,ΧΕΡΣΟΝΗΣΟΥ
ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΗΣ
ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ
ΔΙΟΥ - ΟΛΥΜΠΟΥ,ΔΙΟΥ - ΟΛΥΜΠΟΥ,ΔΙΟΥ - ΟΛΥΜΠΟΥ
ΣΚΙΑΘΟΥ,ΣΚΙΑΘΟΥ,ΣΚΙΑΘΟΥ
ΟΡΧΟΜΕΝΟΥ,ΟΡΧΟΜΕΝΟΥ,ΟΡΧΟΜΕΝΟΥ
ΠΑΡΓΑΣ,ΠΑΡΓΑΣ,ΠΑΡΓΑΣ
ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ
ΑΠΟΚΟΡΩΝΟΥ,ΑΠΟΚΟΡΩΝΟΥ,ΑΠΟΚΟΡΩΝΟΥ
ΑΜΥΝΤΑΙΟΥ,ΑΜΥΝΤΑΙΟΥ,ΑΜΥΝΤΑΙΟΥ
ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΔΕΛΤΑ,ΔΕΛΤΑ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΜΕΓΑΛΟΠΟΛΗΣ,ΜΕΓΑΛΟΠΟΛΗΣ,ΜΕΓΑΛΟΠΟΛΗΣ
ΗΓΟΥΜΕΝΙΤΣΑΣ,ΗΓΟΥΜΕΝΙΤΣΑΣ,ΗΓΟΥΜΕΝΙΤΣΑΣ
ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ
ΚΙΛΕΛΕΡ,ΚΙΛΕΛΕΡ,ΚΙΛΕΛΕΡ
ΝΕΣΤΟΡΙΟΥ,ΝΕΣΤΟΡΙΟΥ,ΝΕΣΤΟΡΙΟΥ
ΩΡΩΠΟΥ,ΩΡΩΠΟΥ,ΩΡΩΠΟΥ
ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ
ΕΟΡΔΑΙΑΣ,ΕΟΡΔΑΙΑΣ,ΕΟΡΔΑΙΑΣ
ΜΑΡΑΘΩΝΟΣ,ΜΑΡΑΘΩΝΟΣ,ΜΑΡΑΘΩΝΟΣ
ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ
ΝΕΜΕΑΣ,ΝΕΜΕΑΣ,ΝΕΜΕΑΣ
ΠΑΞΩΝ,ΠΑΞΩΝ,ΠΑΞΩΝ
ΚΑΡΠΕΝΗΣΙΟΥ,ΚΑΡΠΕΝΗΣΙΟΥ,ΚΑΡΠΕΝΗΣΙΟΥ
ΛΕΒΑΔΕΩΝ,ΛΕΒΑΔΕΩΝ,ΛΕΒΑΔΕΩΝ
ΦΑΙΣΤΟΥ,ΦΑΙΣΤΟΥ,ΦΑΙΣΤΟΥ
ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ
ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ
ΛΟΚΡΩΝ,ΛΟΚΡΩΝ,ΛΟΚΡΩΝ
ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ,ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ,ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ
ΡΗΓΑ ΦΕΡΑΙΟΥ,ΡΗΓΑ ΦΕΡΑΙΟΥ,ΡΗΓΑ ΦΕΡΑΙΟΥ
ΒΙΣΑΛΤΙΑΣ,ΒΙΣΑΛΤΙΑΣ,ΒΙΣΑΛΤΙΑΣ
ΧΑΛΚΙΔΕΩΝ,ΧΑΛΚΙΔΕΩΝ,ΧΑΛΚΙΔΕΩΝ
ΛΑΓΚΑΔΑ,ΛΑΓΚΑΔΑ,ΛΑΓΚΑΔΑ
ΟΡΕΣΤΙΔΟΣ,ΟΡΕΣΤΙΔΟΣ,ΟΡΕΣΤΙΑΔΑΣ
ΑΓΡΑΦΩΝ,ΑΓΡΑΦΩΝ,ΑΓΡΑΦΩΝ
ΘΕΡΜΗΣ,ΘΕΡΜΗΣ,ΘΕΡΜΗΣ
ΣΟΥΛΙΟΥ,ΣΟΥΛΙΟΥ,ΣΟΥΛΙΟΥ
ΣΚΟΠΕΛΟΥ,ΣΚΟΠΕΛΟΥ,ΣΚΟΠΕΛΟΥ
ΠΥΛΗΣ,ΠΥΛΗΣ,ΠΥΛΗΣ
ΗΡΑΚΛΕΙΑΣ,ΗΡΑΚΛΕΙΑΣ,ΗΡΑΚΛΕΙΑΣ
ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ
ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ
ΠΩΓΩΝΙΟΥ,ΠΩΓΩΝΙΟΥ,ΠΩΓΩΝΙΟΥ
ΕΡΥΜΑΝΘΟΥ,ΕΡΥΜΑΝΘΟΥ,ΕΡΥΜΑΝΘΟΥ
ΣΚΥΔΡΑΣ,ΣΚΥΔΡΑΣ,ΣΚΥΔΡΑΣ
ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
ΑΓΙΑΣ,ΑΓΙΑΣ,ΑΓΙΑΣ
ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,ΧΑΝΙΩΝ
ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ
ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΜΥΚΗΣ,ΜΥΚΗΣ,ΜΥΚΗΣ
ΒΟΪΟΥ,ΒΟΪΟΥ,ΒΟΙΟΥ
ΖΗΡΟΥ,ΖΗΡΟΥ,ΖΗΡΟΥ
ΠΡΟΣΟΤΣΑΝΗΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΠΡΟΣΟΤΣΑΝΗΣ
ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΩΡΑΙΟΚΑΣΤΡΟΥ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΩΡΑΙΟΚΑΣΤΡΟΥ
ΣΤΥΛΙΔΟΣ,ΣΤΥΛΙΔΟΣ,ΣΤΥΛΙΔΑΣ
ΔΩΡΙΔΟΣ,ΔΩΡΙΔΟΣ,ΔΩΡΙΔΟΣ
ΠΑΛΑΜΑ,ΠΑΛΑΜΑ,ΠΑΛΑΜΑ
ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ
ΣΕΡΙΦΟΥ,ΣΕΡΙΦΟΥ,ΣΕΡΙΦΟΥ
ΜΥΛΟΠΟΤΑΜΟΥ,ΜΥΛΟΠΟΤΑΜΟΥ,ΜΥΛΟΠΟΤΑΜΟΥ
ΔΩΔΩΝΗΣ,ΔΩΔΩΝΗΣ,ΔΩΔΩΝΗΣ
ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ
ΓΟΡΤΥΝΑΣ,ΓΟΡΤΥΝΑΣ,ΓΟΡΤΥΝΑΣ
ΑΛΙΑΡΤΟΥ,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ
ΦΑΡΣΑΛΩΝ,ΦΑΡΣΑΛΩΝ,ΦΑΡΣΑΛΩΝ
ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ
ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΝΑΟΥΣΑΣ,ΝΑΟΥΣΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΝΗΣ
ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ
ΤΑΝΑΓΡΑΣ,ΤΑΝΑΓΡΑΣ,ΤΑΝΑΓΡΑΣ
ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΝΟΤΙΟΥ ΠΗΛΙΟΥ
ΑΜΦΙΠΟΛΗΣ,ΑΜΦΙΠΟΛΗΣ,ΑΜΦΙΠΟΛΗΣ
ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ
ΠΟΡΟΥ,ΠΟΡΟΥ,ΠΟΡΟΥ
ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
ΕΡΕΤΡΙΑΣ,ΕΡΕΤΡΙΑΣ,ΕΡΕΤΡΙΑΣ
ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ
ΙΘΑΚΗΣ,ΙΘΑΚΗΣ,ΙΘΑΚΗΣ
ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ
ΑΝΩΓΕΙΩΝ,ΑΝΩΓΕΙΩΝ,ΑΝΩΓΕΙΩΝ
ΛΑΥΡΕΩΤΙΚΗΣ,ΛΑΥΡΕΩΤΙΚΗΣ,ΛΑΥΡΕΩΤΙΚΗΣ
ΚΕΑΣ,ΚΕΑΣ,ΚΕΑΣ
ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ
ΣΚΥΡΟΥ,ΣΚΥΡΟΥ,ΣΚΥΡΟΥ
ΑΓΙΟ ΟΡΟΣ,ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΝΟΜΟ),ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΝΟΜΟ)
ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ
ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ
ΚΑΛΥΜΝΙΩΝ,ΚΑΛΥΜΝΙΩΝ,ΚΑΛΥΜΝΙΩΝ
ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ
ΑΝΑΦΗΣ,ΑΝΑΦΗΣ,ΑΝΑΦΗΣ
ΚΥΘΝΟΥ,ΚΥΘΝΟΥ,ΚΥΘΝΟΥ
ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ
ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ
ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑΤΟΣ
ΦΥΛΗΣ,ΦΥΛΗΣ,ΦΥΛΗΣ
ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
ΠΑΙΑΝΙΑΣ,ΠΑΙΑΝΙΑΣ,ΠΑΙΑΝΙΑΣ
ΜΕΓΙΣΤΗΣ,ΜΕΓΙΣΤΗΣ,ΜΕΓΙΣΤΗΣ
ΑΝΤΙΠΑΡΟΥ,ΑΝΤΙΠΑΡΟΥ,ΑΝΤΙΠΑΡΟΥ
ΥΔΡΑΣ,ΥΔΡΑΣ,ΥΔΡΑΣ
ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ
ΖΑΓΟΡΙΟΥ,ΖΑΓΟΡΙΟΥ,ΖΑΓΟΡΙΟΥ
ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ
ΣΑΡΩΝΙΚΟΥ,ΣΑΡΩΝΙΚΟΥ,ΣΑΡΩΝΙΚΟΥ
ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΘΕΡΜΑΙΚΟΥ,ΘΕΡΜΑΙΚΟΥ,ΘΕΡΜΑΙΚΟΥ
ΣΑΛΑΜΙΝΟΣ,ΣΑΛΑΜΙΝΟΣ,ΣΑΛΑΜΙΝΟΣ
ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
ΣΙΘΩΝΙΑΣ,ΣΙΘΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ
ΔΙΟΝΥΣΟΥ,ΔΙΟΝΥΣΟΥ,ΔΙΟΝΥΣΟΥ
ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ
ΤΗΝΟΥ,ΤΗΝΟΥ,ΤΗΝΟΥ
ΠΑΥΛΟΥ ΜΕΛΑ,ΠΑΥΛΟΥ ΜΕΛΑ,ΠΑΥΛΟΥ ΜΕΛΑ
ΝΕΑΣ ΖΙΧΝΗΣ,ΝΕΑΣ ΖΙΧΝΗΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ
ΡΑΦΗΝΑΣ,ΡΑΦΗΝΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
